"No.","Time","Source","Destination","Protocol","Length","Info","TLS server name","Flags"
"121","0.921564","206.247.43.169","10.9.14.244","UDP","1031","8801  >  63404 Len=989","",""
"122","0.924937","10.9.14.244","206.247.43.169","UDP","141","63406  >  8801 Len=99","",""
"123","0.945618","10.9.14.244","206.247.43.169","UDP","146","63406  >  8801 Len=104","",""
"124","0.960238","10.9.14.244","206.247.43.169","UDP","142","63406  >  8801 Len=100","",""
"125","0.966490","206.247.43.169","10.9.14.244","UDP","1031","8801  >  63404 Len=989","",""
"126","0.966490","206.247.43.169","10.9.14.244","UDP","914","8801  >  63404 Len=872","",""
"127","0.973515","206.247.43.169","10.9.14.244","UDP","914","8801  >  63404 Len=872","",""
"128","0.973515","206.247.43.169","10.9.14.244","UDP","914","8801  >  63404 Len=872","",""
"129","0.973515","206.247.43.169","10.9.14.244","UDP","914","8801  >  63404 Len=872","",""
"130","0.983717","206.247.43.169","10.9.14.244","TLSv1.2","148","Application Data","","0x018"
"131","0.983717","206.247.43.169","10.9.14.244","UDP","913","8801  >  63404 Len=871","",""
"132","0.983996","10.9.14.244","206.247.43.169","UDP","145","63404  >  8801 Len=103","",""
"133","0.984882","10.9.14.244","206.247.43.169","UDP","148","63406  >  8801 Len=106","",""
"134","0.995085","10.9.14.244","206.247.43.169","TLSv1.2","104","Application Data","","0x018"
"135","1.004856","10.9.14.244","206.247.43.169","UDP","140","63406  >  8801 Len=98","",""
"136","1.015362","206.247.43.169","10.9.14.244","UDP","927","8801  >  63404 Len=885","",""
"137","1.015362","206.247.43.169","10.9.14.244","UDP","927","8801  >  63404 Len=885","",""
"138","1.017780","10.9.14.244","206.247.43.169","UDP","366","63404  >  8801 Len=324","",""
"139","1.025278","10.9.14.244","206.247.43.169","UDP","140","63406  >  8801 Len=98","",""
"140","1.025648","206.247.43.169","10.9.14.244","UDP","927","8801  >  63404 Len=885","",""
"141","1.025648","206.247.43.169","10.9.14.244","UDP","549","8801  >  63404 Len=507","",""
"142","1.025648","206.247.43.169","10.9.14.244","UDP","549","8801  >  63404 Len=507","",""
"143","1.025648","206.247.43.169","10.9.14.244","UDP","549","8801  >  63404 Len=507","",""
"144","1.026603","206.247.43.169","10.9.14.244","WireGuard","123","Transport Data, receiver=0xD3B60813, counter=4613094942066082181, datalen=49","",""
"145","1.034826","206.247.43.169","10.9.14.244","UDP","133","8801  >  63404 Len=91","",""
"146","1.034896","10.9.14.244","206.247.43.169","WireGuard","151","Transport Data, receiver=0xF4691015, counter=1873780468717977868, datalen=77","",""
"147","1.050765","10.9.14.244","206.247.43.169","TLSv1.2","714","Application Data","","0x018"
"148","1.056419","206.247.43.169","10.9.14.244","UDP","548","8801  >  63404 Len=506","",""
"149","1.065318","206.247.43.169","10.9.14.244","TLSv1.2","126","Application Data","","0x018"
"150","1.065350","10.9.14.244","206.247.43.169","TCP","54","63136  >  443 [ACK] Seq=816 Ack=254 Win=255 Len=0","","0x010"
"151","1.097099","10.9.14.244","206.247.43.169","TLSv1.2","92","Application Data","","0x018"
"152","1.107617","206.247.43.169","10.9.14.244","UDP","919","8801  >  63404 Len=877","",""
"153","1.107726","10.9.14.244","206.247.43.169","TLSv1.2","97","Application Data","","0x018"
"154","1.109874","206.247.43.169","10.9.14.244","UDP","185","8801  >  63404 Len=143","",""
"155","1.119961","10.9.14.244","206.247.43.169","UDP","139","63406  >  8801 Len=97","",""
"156","1.146135","206.247.43.169","10.9.14.244","TCP","56","443  >  63136 [ACK] Seq=254 Ack=156 Win=16 Len=0","","0x010"
"157","1.149533","206.247.43.169","10.9.14.244","UDP","912","8801  >  63404 Len=870","",""
